case_id,holding_id,total_citations,internal_citations,external_citations,precedent_direction_score,predominantly_pro_ds_precedents,cites_gc_precedent,precedent_purpose_rate,avg_cited_pagerank,max_cited_pagerank,citing_case_pagerank,citing_case_in_degree,citing_case_authority
C-77/21,2,5,2,3,0.7083333333333333,1.0,1,0.75,0.06622115002303243,0.0894259145658621,0.010474250248116023,3,0.0025771619793415607
C-807/21,1,6,1,5,1.0,1.0,0,1.0,0.026927333914559114,0.026927333914559114,0.01317019937886215,3,0.00036562988051095464
C-807/21,2,7,1,6,0.75,1.0,1,0.5,0.02313723659639132,0.02313723659639132,0.01317019937886215,3,0.00036562988051095464
C-817/19,1,6,1,5,0.75,1.0,1,0.5,0.0894259145658621,0.0894259145658621,0.0075542696720103004,1,0.00666615380623523
C-817/19,2,16,0,16,,,0,,,,0.0075542696720103004,1,0.00666615380623523
C-817/19,3,0,0,0,,,0,,,,0.0075542696720103004,1,0.00666615380623523
C-817/19,4,1,0,1,,,0,,,,0.0075542696720103004,1,0.00666615380623523
C-817/19,5,4,0,4,,,0,,,,0.0075542696720103004,1,0.00666615380623523
C-817/19,6,0,0,0,,,0,,,,0.0075542696720103004,1,0.00666615380623523
C-817/19,7,8,0,8,,,0,,,,0.0075542696720103004,1,0.00666615380623523
C-817/19,8,3,0,3,,,0,,,,0.0075542696720103004,1,0.00666615380623523
